Category: All categories,,,,,,
,,,,,,
Week,bitcoin: (Worldwide),buy bitcoin: (Worldwide),,posix time,price,
2014-11-30,2,2,,1409641210,427.741943051719,2014-09-02
2014-12-07,2,2,,1410159608,410.737371840532,2014-09-08
2014-12-14,2,2,,1410678008,406.002961430768,2014-09-14
2014-12-21,3,2,,1411196408,385.142875574494,2014-09-20
2014-12-28,2,2,,1411714810,354.190264037599,2014-09-26
2015-01-04,3,2,,1412233209,333.381156013208,2014-10-02
2015-01-11,3,2,,1412751613,290.984309015383,2014-10-08
2015-01-18,2,2,,1413270013,313.987906848065,2014-10-14
2015-01-25,2,2,,1413788409,333.4901907254,2014-10-20
2015-02-01,2,2,,1414306809,316.537400528533,2014-10-26
2015-02-08,2,2,,1414825207,298.005620414173,2014-11-01
2015-02-15,2,2,,1415347211,285.032965557626,2014-11-07
2015-02-22,2,2,,1415865625,314.68589638891,2014-11-13
2015-03-01,2,2,,1416384009,336.457830936059,2014-11-19
2015-03-08,2,2,,1416902410,313.515810168961,2014-11-25
2015-03-15,2,2,,1417420808,321.277566520616,2014-12-01
2015-03-22,2,2,,1417939207,321.987293760207,2014-12-07
2015-03-29,2,2,,1418457605,306.679328169473,2014-12-13
2015-04-05,2,2,,1418976007,288.578104868855,2014-12-19
2015-04-12,2,2,,1419494407,279.522199124545,2014-12-25
2015-04-19,2,2,,1420012814,271.903452884943,2014-12-31
2015-04-26,2,2,,1420837504,254.427412257991,2015-01-09
2015-05-03,2,2,,1421308808,216.374105520144,2015-01-15
2015-05-10,2,2,,1421827244,179.075713985286,2015-01-21
2015-05-17,2,2,,1422345689,210.953977503894,2015-01-27
2015-05-24,2,2,,1422864000,201.810982691669,2015-02-02
2015-05-31,2,2,,1423382557,193.784918421731,2015-02-08
2015-06-07,2,2,,1423900807,192.321700516372,2015-02-14
2015-06-14,2,2,,1424419214,207.692754444289,2015-02-20
2015-06-21,2,2,,1424937664,205.878298430931,2015-02-26
2015-06-28,2,2,,1425456060,221.030957430053,2015-03-04
2015-07-05,2,2,,1425970818,236.098207461371,2015-03-10
2015-07-12,2,2,,1426489430,247.905655857311,2015-03-16
2015-07-19,2,2,,1427007639,231.680430773768,2015-03-22
2015-07-26,2,2,,1427526276,217.630420815538,2015-03-28
2015-08-02,2,2,,1428044412,210.994786532584,2015-04-03
2015-08-09,2,2,,1428562812,217.123037406873,2015-04-09
2015-08-16,2,2,,1429081218,199.310272643091,2015-04-15
2015-08-23,2,2,,1429599693,191.762950836659,2015-04-21
2015-08-30,2,2,,1430118006,196.184172652637,2015-04-27
2015-09-06,2,2,,1430636404,196.269660723556,2015-05-03
2015-09-13,2,2,,1431154907,202.738716779178,2015-05-09
2015-09-20,2,2,,1431673245,205.69804075904,2015-05-15
2015-09-27,2,2,,1432191651,201.356014379078,2015-05-21
2015-10-04,2,2,,1432710084,203.295344050618,2015-05-27
2015-10-11,2,2,,1433228492,199.138503449177,2015-06-02
2015-10-18,2,2,,1433746805,192.227696747365,2015-06-08
2015-10-25,2,2,,1434265504,196.227374555139,2015-06-14
2015-11-01,4,3,,1434783602,207.998567598959,2015-06-20
2015-11-08,3,2,,1435302072,208.453541580409,2015-06-26
2015-11-15,2,2,,1435820451,216.435304979649,2015-07-02
2015-11-22,2,2,,1436338802,225.049479632132,2015-07-08
2015-11-29,2,2,,1436857345,245.243261565103,2015-07-14
2015-12-06,4,3,,1437375606,241.458851673879,2015-07-20
2015-12-13,3,3,,1437894004,240.576122574751,2015-07-26
2015-12-20,3,2,,1438412619,248.349225076205,2015-08-01
2015-12-27,2,3,,1438930806,240.8032840416,2015-08-07
2016-01-03,3,2,,1439449224,230.07650326746,2015-08-13
2016-01-10,3,2,,1439967615,221.119275500464,2015-08-19
2016-01-17,3,2,,1440486000,195.412181138161,2015-08-25
2016-01-24,2,2,,1441004456,194.324356689427,2015-08-31
2016-01-31,2,2,,1441522805,196.886295862897,2015-09-06
2016-02-07,2,2,,1442041212,206.113150777622,2015-09-12
2016-02-14,3,2,,1442559632,197.777106665563,2015-09-18
2016-02-21,2,2,,1443078135,196.979835409364,2015-09-24
2016-02-28,2,2,,1443596461,201.550704599089,2015-09-30
2016-03-06,2,2,,1444114811,203.890616360578,2015-10-06
2016-03-13,2,2,,1444633224,209.819524198616,2015-10-12
2016-03-20,2,2,,1445151614,219.019893046433,2015-10-18
2016-03-27,2,2,,1445670053,230.843853464268,2015-10-24
2016-04-03,2,2,,1446188404,253.476422047948,2015-10-30
2016-04-10,2,2,,1446710406,308.631774731353,2015-11-05
2016-04-17,2,2,,1447228802,320.033175203119,2015-11-11
2016-04-24,3,2,,1447747208,280.887004723346,2015-11-17
2016-05-01,4,3,,1448265635,280.363409890786,2015-11-23
2016-05-08,3,2,,1448784064,290.511501919903,2015-11-29
2016-05-15,2,2,,1449302400,312.94039285877,2015-12-05
2016-05-22,2,2,,1449820824,344.083623774224,2015-12-11
2016-05-29,3,3,,1450339212,379.996088527805,2015-12-17
2016-06-05,3,3,,1450857603,384.78948635368,2015-12-23
2016-06-12,4,4,,1451376004,373.79079300626,2015-12-29
2016-06-19,4,3,,1451894497,367.867315377081,2016-01-04
2016-06-26,3,3,,1452412804,379.03387660438,2016-01-10
2016-07-03,3,3,,1452931202,366.345085224193,2016-01-16
2016-07-10,3,2,,1453449655,333.23884686159,2016-01-22
2016-07-17,3,2,,1453968003,335.304016910069,2016-01-28
2016-07-24,3,2,,1454486434,321.533969037821,2016-02-03
2016-07-31,3,3,,1455004805,322.726920000385,2016-02-09
2016-08-07,3,2,,1455523358,329.489120042393,2016-02-15
2016-08-14,2,2,,1456041605,356.848675965773,2016-02-21
2016-08-21,2,2,,1456560116,366.146433155208,2016-02-27
2016-08-28,2,3,,1457078477,367.857989190122,2016-03-04
2016-09-04,3,2,,1457596844,350.207540392081,2016-03-10
2016-09-11,3,3,,1458111671,355.252737387765,2016-03-16
2016-09-18,2,2,,1458630305,352.628280967481,2016-03-22
2016-09-25,2,2,,1459148426,357.353911627771,2016-03-28
2016-10-02,2,3,,1459666807,357.003289253189,2016-04-03
2016-10-09,3,3,,1460185201,359.660414154103,2016-04-09
2016-10-16,3,3,,1460703625,361.575183016172,2016-04-15
2016-10-23,3,3,,1461222005,368.980917883136,2016-04-21
2016-10-30,3,4,,1461740408,389.779539266757,2016-04-27
2016-11-06,3,3,,1462259062,385.133536768748,2016-05-03
2016-11-13,3,3,,1462777266,387.636459318801,2016-05-09
2016-11-20,3,3,,1463295905,389.654692996137,2016-05-15
2016-11-27,3,3,,1463814117,386.276504894101,2016-05-21
2016-12-04,3,4,,1464332400,382.149710877744,2016-05-27
2016-12-11,3,4,,1464850867,442.934829207283,2016-06-02
2016-12-18,4,4,,1465369229,486.651215073075,2016-06-08
2016-12-25,5,5,,1465887687,526.962004416084,2016-06-14
2017-01-01,7,6,,1466406133,626.127314190657,2016-06-20
2017-01-08,6,5,,1466924409,562.785217284591,2016-06-26
2017-01-15,4,4,,1467442922,554.705336205874,2016-07-02
2017-01-22,4,4,,1467961370,570.110391261202,2016-07-08
2017-01-29,4,4,,1468479628,558.525038072142,2016-07-14
2017-02-05,5,4,,1468998214,572.207968830185,2016-07-20
2017-02-12,4,4,,1469516645,563.931459663166,2016-07-26
2017-02-19,5,4,,1470034807,554.758216991122,2016-08-01
2017-02-26,6,6,,1470553204,491.750493593011,2016-08-07
2017-03-05,7,5,,1471072111,504.736755128969,2016-08-13
2017-03-12,6,5,,1471590057,490.64558036925,2016-08-19
2017-03-19,6,4,,1472108583,494.755862950463,2016-08-25
2017-03-26,5,4,,1472626821,491.170323911061,2016-08-31
2017-04-02,5,4,,1473145323,500.0318819805,2016-09-06
2017-04-09,5,5,,1473663600,527.323686768251,2016-09-12
2017-04-16,5,4,,1474182058,519.431397433942,2016-09-18
2017-04-23,5,4,,1474700591,515.051407004928,2016-09-24
2017-04-30,7,7,,1475218802,515.964014328579,2016-09-30
2017-05-07,10,8,,1475737247,521.387839965621,2016-10-06
2017-05-14,12,9,,1476255667,528.40308584292,2016-10-12
2017-05-21,19,24,,1476774078,545.084934246234,2016-10-18
2017-05-28,12,13,,1477292648,545.335807108724,2016-10-24
2017-06-04,13,13,,1477810804,577.587330888728,2016-10-30
2017-06-11,13,13,,1478329245,608.120618706654,2016-11-05
2017-06-18,11,11,,1478851203,609.66766539397,2016-11-11
2017-06-25,11,11,,1479369602,608.345223708613,2016-11-17
2017-07-02,9,8,,1479888014,635.065849394671,2016-11-23
2017-07-09,10,10,,1480406430,626.517705678198,2016-11-29
2017-07-16,12,10,,1480924802,644.235358990686,2016-12-05
2017-07-23,11,9,,1481443216,654.222955722062,2016-12-11
2017-07-30,15,13,,1481961603,665.300799468486,2016-12-17
2017-08-06,15,15,,1482480039,694.922974923728,2016-12-23
2017-08-13,20,21,,1482998405,781.609610709521,2016-12-29
2017-08-20,16,17,,1483516808,844.048400954167,2017-01-04
2017-08-27,17,17,,1484035263,811.050152186423,2017-01-10
2017-09-03,18,16,,1484553602,707.276995635393,2017-01-16
2017-09-10,21,14,,1485072009,761.595699110981,2017-01-22
2017-09-17,16,11,,1485590404,779.133885350045,2017-01-28
2017-09-24,13,10,,1486108804,812.188458955111,2017-02-03
2017-10-01,13,10,,1486627241,882.750814387964,2017-02-09
2017-10-08,19,16,,1487145676,854.318325266491,2017-02-15
2017-10-15,20,18,,1487664009,896.970914708594,2017-02-21
2017-10-22,21,16,,1488182407,988.059423335327,2017-02-27
2017-10-29,28,26,,1488700828,1055.15579156403,2017-03-05
2017-11-05,28,26,,1489219207,1044.10006393565,2017-03-11
2017-11-12,31,27,,1489734000,1043.6022449429,2017-03-17
2017-11-19,27,25,,1490252620,900.873603506046,2017-03-23
2017-11-26,65,68,,1490770806,849.230689915789,2017-03-29
2017-12-03,92,100,,1491289210,919.225174971916,2017-04-04
2017-12-10,86,93,,1491807644,1003.71771471066,2017-04-10
2017-12-17,100,84,,1492326287,1022.02884376346,2017-04-16
2017-12-24,63,45,,1492844460,1031.55655447991,2017-04-22
2017-12-31,48,45,,1493362844,1086.4149668509,2017-04-28
2018-01-07,46,38,,1493881204,1188.31234293196,2017-05-04
2018-01-14,57,32,,1494399600,1359.35260696291,2017-05-10
2018-01-21,38,21,,1494918037,1502.77932527213,2017-05-16
2018-01-28,41,19,,1495436415,1619.46805717869,2017-05-22
2018-02-04,47,19,,1495954803,1952.61179221181,2017-05-28
2018-02-11,27,13,,1496473205,1979.45482842586,2017-06-03
2018-02-18,24,11,,1496991601,2305.62505247571,2017-06-09
2018-02-25,19,9,,1497510001,2370.38558987002,2017-06-15
2018-03-04,20,8,,1498028402,2171.26800928425,2017-06-21
2018-03-11,19,9,,1498546803,2236.30583319356,2017-06-27
2018-03-18,18,7,,1499065210,2131.99701962263,2017-07-03
2018-03-25,17,7,,1499583616,2192.71546857187,2017-07-09
,,,,1500102014,2023.89807835919,2017-07-15
,,,,1500620400,1908.41648268235,2017-07-21
,,,,1501138801,2292.80941283025,2017-07-27
,,,,1501657216,2324.38336853642,2017-08-02
,,,,1502175603,2603.7710806889,2017-08-08
,,,,1502694018,3084.13726744648,2017-08-14
,,,,1503212401,3579.82417842708,2017-08-20
,,,,1503730804,3527.12287658788,2017-08-26
,,,,1504249201,3822.0590377076,2017-09-01
,,,,1504767603,3871.1165683372,2017-09-07
,,,,1505286003,3678.23801076741,2017-09-13
,,,,1505804402,3161.84369530621,2017-09-19
,,,,1506322803,3234.08960464331,2017-09-25
,,,,1506841203,3504.16302166784,2017-10-01
,,,,1507359609,3695.96080650908,2017-10-07
,,,,1507878000,4089.09160465658,2017-10-13
,,,,1508396403,4790.63125942547,2017-10-19
,,,,1508914803,4982.00648370458,2017-10-25
,,,,1509433204,5021.23086111558,2017-10-31
,,,,1509955203,5999.95702456623,2017-11-06
,,,,1510473600,5992.2599239529,2017-11-12
,,,,1510992005,5983.10038469453,2017-11-18
,,,,1511510402,6891.26061457639,2017-11-24
,,,,1512028803,8007.49693087978,2017-11-30
,,,,1512547200,9384.92526802766,2017-12-06
,,,,1513065601,12727.4050942646,2017-12-12
,,,,1513584000,15014.8597738677,2017-12-18
,,,,1514102402,13775.2177833817,2017-12-24
,,,,1514620801,12417.455620943,2017-12-30
,,,,1515139211,11998.8356725336,2018-01-05
,,,,1515657614,13226.8839967772,2018-01-11
,,,,1516176004,11448.4699408652,2018-01-17
,,,,1516694403,9836.51218365928,2018-01-23
,,,,1517212801,9586.80930311379,2018-01-29
,,,,1517731208,8283.04822371412,2018-02-04
,,,,1518249600,6779.06436198268,2018-02-10
,,,,1518768000,7613.49883241734,2018-02-16
,,,,1519286408,9247.84890786899,2018-02-22
,,,,1519804805,8617.73483204646,2018-02-28
,,,,1520323203,9511.13739446048,2018-03-06
,,,,1520838009,8197.39771160103,2018-03-12
,,,,1521356405,7309.70985569446,2018-03-18
