date,nb_utxo
16/10/2009,23577
17/10/2009,23634
18/10/2009,23702
19/10/2009,23814
20/10/2009,23810
21/10/2009,23873
22/10/2009,23924
23/10/2009,24013
24/10/2009,24069
25/10/2009,24145
26/10/2009,24216
27/10/2009,24265
28/10/2009,24331
29/10/2009,24338
30/10/2009,24398
31/10/2009,24444
01/11/2009,24469
02/11/2009,24502
03/11/2009,24564
04/11/2009,24586
05/11/2009,24643
06/11/2009,24705
07/11/2009,24774
08/11/2009,24847
09/11/2009,24911
10/11/2009,24989
11/11/2009,25011
12/11/2009,25077
13/11/2009,25149
14/11/2009,25228
15/11/2009,25324
16/11/2009,25421
17/11/2009,25513
18/11/2009,25592
19/11/2009,25573
20/11/2009,25659
21/11/2009,25732
22/11/2009,25838
23/11/2009,25934
24/11/2009,26027
25/11/2009,26117
26/11/2009,26201
27/11/2009,26275
28/11/2009,26346
29/11/2009,26406
30/11/2009,26481
01/12/2009,26388
02/12/2009,26482
03/12/2009,26570
04/12/2009,26606
05/12/2009,26654
06/12/2009,26757
07/12/2009,26869
08/12/2009,26946
09/12/2009,27036
10/12/2009,27140
11/12/2009,27252
12/12/2009,27297
13/12/2009,27411
14/12/2009,27187
15/12/2009,27292
16/12/2009,27412
17/12/2009,27576
18/12/2009,27801
19/12/2009,27999
20/12/2009,28174
21/12/2009,28349
22/12/2009,28511
23/12/2009,28665
24/12/2009,28819
25/12/2009,28969
26/12/2009,29143
27/12/2009,29306
28/12/2009,29443
29/12/2009,29614
30/12/2009,29755
31/12/2009,29893
01/01/2010,30026
02/01/2010,30151
03/01/2010,30337
04/01/2010,30439
05/01/2010,30637
06/01/2010,30800
07/01/2010,30954
08/01/2010,31107
09/01/2010,31258
10/01/2010,31448
11/01/2010,31607
12/01/2010,31554
13/01/2010,31720
14/01/2010,31857
15/01/2010,31994
16/01/2010,32114
17/01/2010,32245
18/01/2010,32371
19/01/2010,32495
20/01/2010,32653
21/01/2010,32825
22/01/2010,32957
23/01/2010,33118
24/01/2010,33272
25/01/2010,33427
26/01/2010,33610
27/01/2010,33756
28/01/2010,33914
29/01/2010,34096
30/01/2010,34276
31/01/2010,34425
01/02/2010,34601
02/02/2010,34726
03/02/2010,34992
04/02/2010,35187
05/02/2010,35171
06/02/2010,35347
07/02/2010,35561
08/02/2010,35645
09/02/2010,35438
10/02/2010,35005
11/02/2010,35105
12/02/2010,35241
13/02/2010,35392
14/02/2010,35555
15/02/2010,35653
16/02/2010,35840
17/02/2010,36065
18/02/2010,36223
19/02/2010,36416
20/02/2010,36613
21/02/2010,36715
22/02/2010,36714
23/02/2010,36964
24/02/2010,37034
25/02/2010,37049
26/02/2010,37207
27/02/2010,37372
28/02/2010,37426
01/03/2010,37593
02/03/2010,37746
03/03/2010,37788
04/03/2010,37589
05/03/2010,37760
06/03/2010,37851
07/03/2010,37920
08/03/2010,37871
09/03/2010,37938
10/03/2010,38068
11/03/2010,38140
12/03/2010,38256
13/03/2010,38374
14/03/2010,38491
15/03/2010,38629
16/03/2010,38733
17/03/2010,38847
18/03/2010,38918
19/03/2010,38954
20/03/2010,39091
21/03/2010,39272
22/03/2010,39418
23/03/2010,39562
24/03/2010,39712
25/03/2010,39572
26/03/2010,39710
27/03/2010,39871
28/03/2010,40044
29/03/2010,40183
30/03/2010,40393
31/03/2010,40583
01/04/2010,40734
02/04/2010,40875
03/04/2010,41018
04/04/2010,41134
05/04/2010,41184
06/04/2010,41262
07/04/2010,41363
08/04/2010,41510
09/04/2010,41590
10/04/2010,41614
11/04/2010,41716
12/04/2010,41807
13/04/2010,41980
14/04/2010,42101
15/04/2010,41735
16/04/2010,41755
17/04/2010,41924
18/04/2010,44997
19/04/2010,44978
20/04/2010,45005
21/04/2010,45109
22/04/2010,45255
23/04/2010,45409
24/04/2010,45462
