Date,Close
1962-01-01,7.466667
1962-01-08,7.52
1962-01-15,7.38
1962-01-22,7.216667
1962-01-29,7.44
1962-02-05,7.42
1962-02-12,7.26
1962-02-19,7.16
1962-02-26,7.306667
1962-03-05,7.373333
1962-03-12,7.366667
1962-03-19,7.293334
1962-03-26,7.103333
1962-04-02,6.94
1962-04-09,6.906667
1962-04-16,6.92
1962-04-23,6.473333
1962-04-30,6.48
1962-05-07,5.946667
1962-05-14,6.02
1962-05-21,5.313334
1962-05-28,5.133333
1962-06-04,4.95
1962-06-11,4.446667
1962-06-18,4.266667
1962-06-25,4.523334
1962-07-02,4.6
1962-07-09,5.016667
1962-07-16,4.96
1962-07-23,5.011667
1962-07-30,5.133333
1962-08-06,5.01
1962-08-13,5.193333
1962-08-20,5.453333
1962-08-27,5.283333
1962-09-03,5.096667
1962-09-10,5.176667
1962-09-17,5.023334
1962-09-24,4.713333
1962-10-01,4.803333
1962-10-08,4.736667
1962-10-15,4.641667
1962-10-22,4.42
1962-10-29,4.763333
1962-11-05,4.816667
1962-11-12,5.046667
1962-11-19,5.173333
1962-11-26,5.313334
1962-12-03,5.3
1962-12-10,5.193333
1962-12-17,5.136667
1962-12-24,5.233333
1962-12-31,5.293334
1963-01-07,5.436666
1963-01-14,5.5
1963-01-21,5.58
1963-01-28,5.65
1963-02-04,5.6
1963-02-11,5.583333
1963-02-18,5.47
1963-02-25,5.296667
1963-03-04,5.446667
1963-03-11,5.51
1963-03-18,5.523334
1963-03-25,5.613333
1963-04-01,5.893333
1963-04-08,5.95
1963-04-15,6
1963-04-22,6.266667
1963-04-29,6.206666
1963-05-06,6.333333
1963-05-13,6.226666
1963-05-20,6.173333
1963-05-27,6.363333
1963-06-03,6.243333
1963-06-10,6.176667
1963-06-17,6.073333
1963-06-24,5.816667
1963-07-01,5.933333
1963-07-08,5.753334
1963-07-15,5.723333
1963-07-22,5.753334
1963-07-29,5.76
1963-08-05,5.913333
1963-08-12,6.033333
1963-08-19,5.98
1963-08-26,5.93
1963-09-02,6.113333
1963-09-09,6.073333
1963-09-16,6.086667
