Date,Close
1997-05-12,1.729167
1997-05-19,1.5
1997-05-26,1.5
1997-06-02,1.65625
1997-06-09,1.583333
1997-06-16,1.526042
1997-06-23,1.489583
1997-06-30,1.911458
1997-07-07,2.291667
1997-07-14,2.15625
1997-07-21,2.229167
1997-07-28,2.416667
1997-08-04,2.291667
1997-08-11,2.114583
1997-08-18,2.125
1997-08-25,2.338542
1997-09-01,2.5
1997-09-08,3.6875
1997-09-15,3.947917
1997-09-22,4.166667
1997-09-29,4.015625
1997-10-06,3.901042
1997-10-13,3.625
1997-10-20,5.026042
1997-10-27,5.083333
1997-11-03,4.479167
1997-11-10,4.166667
1997-11-17,4.489583
1997-11-24,4.125
1997-12-01,4.59375
1997-12-08,4.541667
1997-12-15,4.5
1997-12-22,4.520833
1997-12-29,4.958333
1998-01-05,4.260417
1998-01-12,4.791667
1998-01-19,4.9375
1998-01-26,4.916667
1998-02-02,4.90625
1998-02-09,5.1875
1998-02-16,5.270833
1998-02-23,6.416667
1998-03-02,6.395833
1998-03-09,6.557292
1998-03-16,7
1998-03-23,7.083333
1998-03-30,7.75
1998-04-06,7.9375
1998-04-13,7.90625
1998-04-20,7.072917
1998-04-27,7.875
1998-05-04,7.697917
1998-05-11,7.46875
1998-05-18,7.166667
1998-05-25,7.34375
1998-06-01,7.375
1998-06-08,10.166667
1998-06-15,12.635417
1998-06-22,15.708333
1998-06-29,20.666666
1998-07-06,16.583334
1998-07-13,19.96875
1998-07-20,20.708334
1998-07-27,18.479166
1998-08-03,19.333334
1998-08-10,20.458334
1998-08-17,21.614584
1998-08-24,17.648434
1998-08-31,14.375
1998-09-07,12.677083
1998-09-14,13.28125
1998-09-21,18.208334
1998-09-28,18.375
1998-10-05,15.197917
1998-10-12,16.572916
1998-10-19,19.354166
1998-10-26,21.072916
1998-11-02,20.760416
1998-11-09,21.291666
1998-11-16,30.104166
1998-11-23,36.104168
1998-11-30,31.416666
1998-12-07,37.166668
1998-12-14,47.78125
1998-12-21,54.135418
1998-12-28,53.541668
1999-01-04,80.125
1999-01-11,70.1875
1999-01-18,61.5
1999-01-25,58.46875
1999-02-01,57.9375
1999-02-08,52.25
1999-02-15,50.9375
1999-02-22,64.0625
1999-03-01,60.75
1999-03-08,66.65625
1999-03-15,67.53125
1999-03-22,69.53125
1999-03-29,85.5
1999-04-05,91.4375
1999-04-12,95
1999-04-19,105.0625
1999-04-26,86.03125
1999-05-03,68.1875
1999-05-10,66.1875
1999-05-17,64.28125
1999-05-24,59.375
1999-05-31,54.21875
1999-06-07,52.90625
1999-06-14,55.65625
1999-06-21,55.09375
1999-06-28,62.03125
1999-07-05,62.75
1999-07-12,68.8125
1999-07-19,57.28125
1999-07-26,50.03125
1999-08-02,44.78125
1999-08-09,48.71875
1999-08-16,56.71875
1999-08-23,64.25
1999-08-30,62.4375
1999-09-06,66.5
1999-09-13,63.8125
1999-09-20,65
1999-09-27,77.25
1999-10-04,89.25
1999-10-11,75.0625
1999-10-18,78.625
1999-10-25,70.625
1999-11-01,64.9375
1999-11-08,74.9375
1999-11-15,77.9375
1999-11-22,93.125
1999-11-29,86.5625
1999-12-06,106.6875
1999-12-13,94.0625
1999-12-20,90
1999-12-27,76.125
2000-01-03,69.5625
2000-01-10,64.25
2000-01-17,62.0625
2000-01-24,61.6875
2000-01-31,78.5625
2000-02-07,76.1875
2000-02-14,64.75
2000-02-21,69.125
2000-02-28,62.5
2000-03-06,66.875
2000-03-13,64.8125
2000-03-20,72.6875
2000-03-27,67
2000-04-03,67.5625
2000-04-10,46.875
2000-04-17,52.375
2000-04-24,55.1875
2000-05-01,58.5
2000-05-08,53.75
2000-05-15,52.625
2000-05-22,46.5
2000-05-29,57.875
2000-06-05,52.1875
2000-06-12,46
2000-06-19,33.875
2000-06-26,36.3125
2000-07-03,36.125
2000-07-10,42.625
2000-07-17,41.125
2000-07-24,30
2000-07-31,32.5
2000-08-07,33.6875
2000-08-14,39
2000-08-21,39.9375
2000-08-28,41.5
2000-09-04,42.9375
2000-09-11,43.625
2000-09-18,41.4375
2000-09-25,38.4375
2000-10-02,31.5625
2000-10-09,28.4375
2000-10-16,30.8125
2000-10-23,35.625
2000-10-30,37.5625
2000-11-06,30.0625
2000-11-13,27.4375
2000-11-20,28.9375
2000-11-27,24.625
2000-12-04,23.4375
2000-12-11,22.875
2000-12-18,15.5625
2000-12-25,15.5625
2001-01-01,14.5625
2001-01-08,17.6875
2001-01-15,19.9375
2001-01-22,19.5
2001-01-29,14.375
2001-02-05,13.375
2001-02-12,13.6875
2001-02-19,11.8125
2001-02-26,10
2001-03-05,12.25
2001-03-12,11
2001-03-19,10.1875
2001-03-26,10.23
2001-04-02,8.37
2001-04-09,14.67
2001-04-16,15.78
2001-04-23,15.27
2001-04-30,17.559999
2001-05-07,14.68
2001-05-14,14.72
2001-05-21,17.09
2001-05-28,16.950001
2001-06-04,15.7
2001-06-11,12.49
2001-06-18,12.4
2001-06-25,14.15
2001-07-02,15.27
